SITE_NAME,AVG_DAILY_CONSUMPTION
0157KO,3.277%
0158BB,8.345%
0158BR,11.877%
0158KO,17.792%
0159BR,10.758%
0159KO,14.441%
0160BR,9.620%
0160KO,6.852%
0161BB,0.143%
0161BR,10.511%
0161KO,27.312%
0162BB,6.622%
0162BR,7.128%
0162KO,11.866%
0163BB,4.330%
0163BR,0.021%
0163KO,15.870%
0164BB,69.968%
0164BR,17.758%
0165BB,12.596%
0165BR,10.907%
0166BB,7.128%
0166BR,3.776%
0166KO,25.246%
0167BB,3.273%
0167BR,26.818%
0167KO,3.341%
0168BB,6.721%
0168BR,22.244%
0168KO,6.739%
0169BB,6.567%
0169BR,3.854%
0169KO,3.714%
0170BB,18.018%
0170BR,0.500%
0170KO,8.092%
0171BB,1.184%
0171BR,11.737%
0171KO,9.150%
0172BB,2.841%
0172BR,3.652%
0172KO,1.900%
0173BB,5.624%
0173BR,2.605%
0173KO,0.037%
0174BR,15.439%
0174KO,6.256%
0175BB,1.573%
0175BR,5.148%
0175KO,10.223%
0176BB,24.226%
0176BR,16.129%
0176KO,1.940%
0177BB,2.485%
0177BR,30.392%
0177KO,11.473%
0178BB,0.172%
0178BR,5.055%
0178KO,86.612%
0179BB,8.507%
0179BR,5.215%
0179KO,1.181%
0180BB,0.174%
0180BR,30.853%
0180KO,21.932%
0181BB,4.341%
0181BR,4.240%
0181KO,8.148%
0182BB,7.570%
0182BR,9.165%
0183BB,2.755%
0183BR,2.199%
0184BR,6.192%
0184KO,7.826%
0185BB,3.703%
0185BR,7.650%
0185KO,14.787%
0186BB,1.236%
0186BR,40.047%
0186KO,1.312%
0187BB,7.090%
0187BR,2.422%
0188BB,7.374%
0188BR,4.062%
0188KO,21.712%
0189BB,5.656%
0189BR,3.201%
0190BB,4.546%
0190BR,27.049%
0190KO,10.217%
0191BB,0.214%
0191BR,12.195%
0192BR,7.066%
0192KO,9.304%
0193BB,21.625%
0193BR,1.380%
0193KO,19.884%
0194BB,8.385%
0194BR,7.529%
0194KO,86.634%
0195BB,2.095%
0195BR,8.777%
0195KO,22.525%
0196BB,2.919%
0196BR,9.512%
0197BR,5.140%
0197KO,13.578%
0198BB,4.950%
0199BB,6.339%
0199BR,5.232%
0199KO,10.395%
0200BB,0.476%
0200KO,5.990%
0201BR,10.403%
0201KO,7.796%
0202BR,7.048%
0202KO,7.572%
0203BR,8.510%
0203KO,2.256%
0204BB,36.559%
0204BR,3.877%
0204KO,8.464%
0205BR,5.884%
0205KO,5.740%
0206BR,4.284%
0206KO,9.305%
0207BB,3.690%
0207BR,20.346%
0207KO,4.119%
0208BR,nan%
0208KO,2.109%
0209BB,3.401%
0209BR,4.286%
0209KO,6.863%
0210BR,10.810%
0210KO,15.105%
0211BB,19.169%
0211BR,8.472%
0211KO,28.192%
0212BB,2.567%
0212BR,40.676%
0212KO,10.874%
0213BB,2.606%
0213BR,34.652%
0213KO,8.063%
0214BB,15.384%
0214BR,0.699%
0214KO,11.299%
0215BB,1.687%
0215BR,3.810%
0215KO,3.008%
0216BR,2.119%
0216KO,9.495%
0217BB,53.920%
0217BR,18.892%
0217KO,6.348%
0218BB,12.841%
0218BR,7.471%
0218KO,7.309%
0219BB,0.938%
0219BR,6.505%
0219KO,5.684%
0220BB,5.418%
0220BR,5.888%
0220KO,nan%
0221BR,2.390%
0221KO,25.044%
0222BB,8.015%
0222BR,27.968%
0222KO,0.816%
0223BR,0.952%
0223KO,26.489%
0224BB,1.215%
0224BR,11.980%
0224KO,7.445%
0225BB,5.733%
0225BR,4.150%
0225KO,7.481%
0226BB,5.530%
0226BR,2.427%
0226KO,6.747%
0227BB,62.853%
0227BR,10.050%
0227KO,8.679%
0228BB,7.856%
0228BR,16.514%
0228KO,7.042%
0229BB,13.630%
0229BR,21.452%
0229KO,5.024%
0230BB,6.223%
0230KO,7.353%
0231BB,1.455%
0231BR,7.516%
0231KO,41.268%
0232BB,6.315%
0232BR,44.504%
0232KO,7.165%
0233BB,0.745%
0233BR,9.434%
0233KO,0.231%
0234BB,14.870%
0234BR,3.653%
0234KO,6.888%
0235BB,3.518%
0235BR,7.621%
0235KO,5.394%
0236BB,0.408%
0236BR,4.346%
0236KO,14.417%
0237BB,45.190%
0237BR,55.891%
0237KO,27.621%
0238BB,36.940%
0238BR,15.810%
0238KO,10.218%
0239BB,18.685%
0239BR,3.624%
0239KO,15.183%
0240BB,71.183%
0240BR,5.267%
0240KO,8.987%
0241BR,7.178%
0241KO,28.234%
0242BB,9.267%
0242BR,33.377%
